Index,Judul,Aktual,Deskripsi,Rubrik,Tag,Cossine Rekomend,Jaccard Recommned,MAE_Cos,MAE_Jac,MAE_Cos2,MAE_Jac2
0,"Jelang KTT G20, Menko Luhut Resmikan PLTS Terapung Milik PLN di Bali","[1, 2, 3, 4, 5]",jelang ktt g menko luhut resmi plts apung milik pln bal menteri koordinator bidang maritim investasi luhut binsar pandjaitan resmi bangkit listrik tenaga surya plts apung waduk muara nusa milik pln group bangkit bas energi baru baru ebt kapasitas kilowatt peak kwp bakal dukung andal pasok listrik konferensi tingkat tinggi ktt g inovasi sebut rupa salah satu program transformasi pln guna teknologi sistem digital monitor kelola pasok energi listrik sesuai butuh beban plts apung energi baru baru pln,Nasional,"plts terapung, energi baru terbarukan, PLN","[3, 5, 4, 1, 2]",[3 5 4 7 1],0,1,0,1
1,PLN Berhasil Reduksi 32 Juta Metrik Ton Emisi Karbon di Tahun 2022,"[0, 2, 3, 4, 5]",pln hasil reduksi juta metrik ton emisi karbon tahun pt pln persero hasil kurang juta metrik ton emisi karbon gas rumah kaca panjang sampai direktur utama pln darmawan prasodjo decarbonizing energy sector for net zero indonesia pavillion cop langsung mesir senin november darmawan tahun pt pln persero hasil reduksi juta metric ton emisi c ini lampau target ndc capai sebut pt pln persero laku dekat holistic yakni tambah kapasitas bangkit energi baru ebt reduksi emisi karbon pln,Nasional,"reduksi, emisi karbon, PLN","[5, 3, 0, 4, 2]",[ 5  4  3  0 50],0,1,0,1
2,Instalasi PLN Dua Pekon di Suoh Masuk Roadmap PLN 2023,"[0, 1, 3, 4, 5]",instalasi pln pekon suoh masuk roadmap pln pasang instalasi listrik pekon roworejo sidorejo camat suoh lampung barat masuk roadmap pln tahun sebut sampai bupati lampung barat parosil mabsus sampai jawab perintah pandang umum fraksi bahas rapbd ruang sidang marghasana rabu november parosil dasar atur perintah nomor selenggara lindung kelola lingkung hidup rencana usaha giat dampak lingkung hidup wajib milik amdal ukl upl atau sppl rencana usaha atau giat lokasi ada dalam kawasan hutan lindung liput rencana usaha atau giat dapat laku sesuai tentu atur undang undang roadmap instalasi listrik jaring pln,Nasional,"roadmap, instalasi, listrik, jaringan, PLN","[0, 3, 5, 1, 4]",[52 50 58 48 40],0,5,0,25
3,"Jelang KTT G20, PLN Pamerkan Dua PLTS dan 33 PV Rooftop di Bali","[0, 1, 2, 4, 5]",jelang ktt g pln pamer plts pv rooftop bal pt pln persero operasi proyek bangkit listrik tenaga surya plts solar photovoltaic pv rooftop plts atap lokasi gedung pln grup jadi bagi showcase transisi energi temu konferensi tingkat tinggi ktt g bal rupa wujud komitmen indonesia selenggara tinggi temu g pasok energi bersih gubernur bal i wayan koster apresiasi langkah pln laku transisi energi lebih bersih plts g pln,Nasional,"plts, g20, PLN","[0, 5, 4, 1, 2]",[ 4  5  0  1 19],0,1,0,1
4,"Jaga Pasokan Listrik KTT G20, PLN Operasikan PLTG Relokasi Dari Grati ke Bali","[0, 1, 2, 3, 5]",jaga pasok listrik ktt g pln operasi pltg relokasi grati bal pt pln persero resmi operasi relokasi bangkit listrik tenaga gas pltg grati x megawatt mw jawa timur sanggar bal relokasi bangkit listrik laku kuat andal pasok listrik bal jadi tuan rumah konferensi tingkat tinggi ktt g resmi relokasi pltg grati laksana nusa bal selasa novermber direktur utama pln darmawan prasodjo kata upaya selesai relokasi laku kerja keras insan pln pasti andal pasok listrik ktt g pltg g pasok listrik pln,Nasional,"pltg, g20, pasokan listrik, PLN","[3, 0, 5, 1, 2]",[ 3  5  0  1 44],0,1,0,1
5,"Wujudkan Transisi Energi, PLN Siap Kerjakan Proyek PLTS Terapung Singkarak dan Saguling","[0, 4, 1, 2, 3]",wujud transisi energi pln siap kerja proyek plts apung singkarak saguling sub holding pt pln persero pln indonesia power sama acwa power dorong kembang bangkit listrik tenaga surya plts apung singkarak saguling kapasitas masing masing bangkit besar megawatt ac mwac mwac total investasi usd juta upaya sebut rupa salah satu wujud pln dukung transisi energi presidensi ktt g november datang dari sisi kembang ebt direktur utama pln darmawan prasodjo kata kembang plts apung akan jadi revolusi kembang ebt negeri kembang plts apung singkarak rencana kapasitas mwac target cod plts apung listrik pln,Nasional,"plts terapung, listrik, pln","[0, 3, 1, 4, 2]",[3 4 0 1 7],0,1,0,1
6,"Mirota Kampus Buka Lowongan Kerja Bagian Operator Moulding, Simak Persyaratannya","[7, 8, 9, 10, 11]",mirota kampus buka lowong kerja bagi operator moulding simak syarat kalian lulus d s jurus teknik informatika teknik komputer sedang cari kerja simak lowong kerja ikut ini pt mirota nayan sedang buka lowong kerja posisi operator moulding pt mirota sendiri rupa usaha orang diri tahun bapak ibu hendro sutikno kualifikasi lowong kerja mirota kampus laki laki usia maksimal tahun didik minimal d s jurus teknik informatika teknik komputer milik alam minimal tahun bidang sama informasi kena lowong kerja pt mirota nayan opertor moulding pt mirota nayan mirota kampus lowong kerja,Lowongan kerja,"opertor moulding, PT. Mirota Nayan, Mirota Kampus, Lowongan Kerja","[9, 8, 11, 10, 7]",[ 9  8  7 11 32],0,1,0,1
7,"BRI Kembali Buka Program Management Trainee, BRILiaN Future Leader Program","[6, 8, 9, 10, 11]",bri buka program management trainee brilian future leader program pt bank rakyat indonesia persero tbk bri terus orientasi tumbuh lanjut salah satu lalu kembang teknologi digital dukung sumber daya manusia sdm unggul program management trainee tuju lulus baru akan nyaring kandidat kandidat pimpin masa depan bri group daftar bflp bri group buka mulai tanggal hingga november posisi bflp general bflp it adapun kualifikasi umum harus penuh lowong kerja bri lulus s batas usia tahun milik ipk minimal untuk lulus s batas usia tahun milik ipk minimal agus tekan program rekrutmen laku bri mungut biaya mulai awal hingga akhir program gratis bflp feature leader human capital bbri rekrutmen bri lowong kerja,Ekonomi Bisnis,"bflp, feature leader, human capital, bbri, rekrutmen, bri, lowongan kerja","[9, 11, 6, 8, 10]",[ 9  6 11 39  5],0,2,0,4
8,"PT Petrolindo Megah Perkasa Buka Lowongan Kerja Bagi Lulusan D3, Simak Persyaratannya","[6, 7, 9, 10, 11]",pt petrolindo megah perkasa buka lowong kerja lulus d simak syarat kamu lulus d jurus teknik mesin teknik industri teknik elektro sedang cari kerja baik simak lowong kerja ikut pt petrolindo megah perkasa sedang buka lowong kerja posisi tanggung jawab operasional pt petrolindo megah perkasa buah usaha gerak bidang jual sewa rental baik awat parts pompa dewatering slurry usaha ini milik jaring nasional sebar beberapa daerah indonesia loker pt petrolindo pt petrolindo megah perkasa lowong bumn loker bumn lowong kerja,Lowongan kerja,"Loker PT Petrolindo, PT Petrolindo megah perkasa, lowongan bumn, loker bumn, lowongan kerja","[9, 6, 11, 10, 7]",[ 6  9 33  7 20],0,2,0,4
9,"PT KAI Properti Buka Lowongan Kerja Bagian IT Supervisor, Berikut Ini Persyaratannya","[6, 7, 8, 10, 11]",pt kai properti buka lowong kerja bagi it supervisor ikut syarat kalian lulus s jurus teknik informatika sistem informatika ilmu komputer sedang cari kerja simak lowong kerja ikut ini pt ka properti manajemen sedang buka lowong kerja posisi it supervisor didik minimal s jurus teknik informatika sistem informatika ilmu computer ipk minimal milik alam profesional bidang it programer system analyst minimal tahun usia lamar per desember maksimal tahun informasi kena lowong kerja pt ka properti manajemen moga manfaat loker pt kai loker bumn lowong bumn pt kai lowong kerja,Berita Lainnya,"Loker PT KAI, Loker BUMN, Lowongan BUMN, PT.KAI, Lowongan Kerja","[6, 8, 11, 7, 10]",[ 6  8  7 11 30],0,1,0,1
