,Judul,Deskripsi,Rubrik,Tag,Cossine Rekomend,Jaccard Recommned
0,"Jelang KTT G20, Menko Luhut Resmikan PLTS Terapung Milik PLN di Bali",jelang ktt g menko luhut resmi plts apung milik pln bal menteri koordinator bidang maritim investasi luhut binsar pandjaitan resmi bangkit listrik tenaga surya plts apung waduk muara nusa milik pln group bangkit bas energi baru ebt kapasitas kilowatt peak kwp dukung andal pasok listrik konferensi tingkat ktt g inovasi salah program transformasi pln teknologi sistem digital monitor kelola pasok energi listrik sesuai butuh beban plts apung energi baru pln,Nasional,"plts terapung, energi baru terbarukan, PLN","[5, 3, 4, 1, 2]",[3 5 4 1 7]
1,PLN Berhasil Reduksi 32 Juta Metrik Ton Emisi Karbon di Tahun 2022,pln hasil reduksi juta metrik ton emisi karbon pt pln persero hasil kurang juta metrik ton emisi karbon gas rumah kaca direktur utama pln darmawan prasodjo decarbonizing energy sector net zero indonesia pavillion cop mesir senin november darmawan pt pln persero hasil reduksi juta metric ton emisi c lampau target ndc capai pt pln persero dekat holistic tambah kapasitas bangkit energi baru ebt reduksi emisi karbon pln,Nasional,"reduksi, emisi karbon, PLN","[5, 3, 0, 4, 2]",[ 5  4  3  0 39]
2,Instalasi PLN Dua Pekon di Suoh Masuk Roadmap PLN 2023,instalasi pln pekon suoh masuk roadmap pln pasang instalasi listrik pekon roworejo sidorejo camat suoh lampung barat masuk roadmap pln bupati lampung barat parosil mabsus perintah pandang fraksi bahas rapbd ruang sidang marghasana rabu november parosil dasar atur perintah nomor selenggara lindung kelola lingkung hidup rencana usaha giat dampak lingkung hidup wajib milik amdal ukl upl sppl rencana usaha giat lokasi kawasan hutan lindung liput rencana usaha giat sesuai tentu atur undang undang roadmap instalasi listrik jaring pln,Nasional,"roadmap, instalasi, listrik, jaringan, PLN","[0, 3, 5, 4, 1]",[48 52  0  3 40]
3,"Jelang KTT G20, PLN Pamerkan Dua PLTS dan 33 PV Rooftop di Bali",jelang ktt g pln pamer plts pv rooftop bal pt pln persero operasi proyek bangkit listrik tenaga surya plts solar photovoltaic pv rooftop plts atap lokasi gedung pln grup showcase transisi energi temu konferensi tingkat ktt g bal wujud komitmen indonesia selenggara tinggi temu g pasok energi bersih gubernur bal wayan koster apresiasi langkah pln transisi energi bersih plts g pln,Nasional,"plts, g20, PLN","[0, 5, 4, 1, 2]",[5 4 0 1 2]
4,"Jaga Pasokan Listrik KTT G20, PLN Operasikan PLTG Relokasi Dari Grati ke Bali",jaga pasok listrik ktt g pln operasi pltg relokasi grati bal pt pln persero resmi operasi relokasi bangkit listrik tenaga gas pltg grati x megawatt mw jawa timur sanggar bal relokasi bangkit listrik kuat andal pasok listrik bal tuan rumah konferensi tingkat ktt g resmi relokasi pltg grati laksana nusa bal selasa novermber direktur utama pln darmawan prasodjo upaya selesai relokasi kerja keras insan pln andal pasok listrik ktt g pltg g pasok listrik pln,Nasional,"pltg, g20, pasokan listrik, PLN","[0, 3, 5, 1, 2]",[ 5  3  0  1 46]
5,"Wujudkan Transisi Energi, PLN Siap Kerjakan Proyek PLTS Terapung Singkarak dan Saguling",wujud transisi energi pln kerja proyek plts apung singkarak saguling sub holding pt pln persero pln indonesia power acwa power dorong kembang bangkit listrik tenaga surya plts apung singkarak saguling kapasitas bangkit megawatt ac mwac mwac total investasi usd juta upaya salah wujud pln dukung transisi energi presidensi ktt g november sisi kembang ebt direktur utama pln darmawan prasodjo kembang plts apung revolusi kembang ebt negeri kembang plts apung singkarak rencana kapasitas mwac target cod plts apung listrik pln,Nasional,"plts terapung, listrik, pln","[0, 3, 1, 4, 2]",[3 4 1 0 7]
6,"Mirota Kampus Buka Lowongan Kerja Bagian Operator Moulding, Simak Persyaratannya",mirota kampus buka lowong kerja operator moulding simak syarat lulus d s jurus teknik informatika teknik komputer cari kerja simak lowong kerja pt mirota nayan buka lowong kerja posisi operator moulding pt mirota usaha orang diri hendro sutikno kualifikasi lowong kerja mirota kampus laki laki usia maksimal didik minimal d s jurus teknik informatika teknik komputer milik alam minimal bidang informasi lowong kerja pt mirota nayan opertor moulding pt mirota nayan mirota kampus lowong kerja,Lowongan kerja,"opertor moulding, PT. Mirota Nayan, Mirota Kampus, Lowongan Kerja","[9, 8, 11, 10, 7]",[ 9  8  7 11 39]
7,"BRI Kembali Buka Program Management Trainee, BRILiaN Future Leader Program",bri buka program management trainee brilian future leader program pt bank rakyat indonesia persero tbk bri orientasi tumbuh lanjut salah satu kembang teknologi digital dukung sumber daya manusia sdm unggul program management trainee lulus nyaring kandidat kandidat pimpin bri group daftar bflp bri group buka tanggal november posisi bflp general bflp kualifikasi penuh lowong kerja bri lulus s batas usia milik ipk minimal lulus s batas usia milik ipk minimal agus tekan program rekrutmen bri mungut biaya program gratis bflp feature leader human capital bbri rekrutmen bri lowong kerja,Ekonomi Bisnis,"bflp, feature leader, human capital, bbri, rekrutmen, bri, lowongan kerja","[9, 11, 6, 8, 10]",[ 6  9  8 11  5]
8,"PT Petrolindo Megah Perkasa Buka Lowongan Kerja Bagi Lulusan D3, Simak Persyaratannya",pt petrolindo megah perkasa buka lowong kerja lulus d simak syarat lulus d jurus teknik mesin teknik industri teknik elektro cari kerja baik simak lowong kerja pt petrolindo megah perkasa buka lowong kerja posisi tanggung operasional pt petrolindo megah perkasa usaha gerak bidang jual sewa rental baik awat parts pompa dewatering slurry usaha milik jaring nasional sebar daerah indonesia loker pt petrolindo pt petrolindo megah perkasa lowong bumn loker bumn lowong kerja,Lowongan kerja,"Loker PT Petrolindo, PT Petrolindo megah perkasa, lowongan bumn, loker bumn, lowongan kerja","[9, 6, 11, 10, 7]",[ 6  9  7 33 39]
9,"PT KAI Properti Buka Lowongan Kerja Bagian IT Supervisor, Berikut Ini Persyaratannya",pt kai properti buka lowong kerja supervisor syarat lulus s jurus teknik informatika sistem informatika ilmu komputer cari kerja simak lowong kerja pt ka properti manajemen buka lowong kerja posisi supervisor didik minimal s jurus teknik informatika sistem informatika ilmu ipk minimal milik alam profesional bidang programer analyst minimal usia lamar desember maksimal informasi lowong kerja pt ka properti manajemen moga manfaat loker pt kai loker bumn lowong bumn pt kai lowong kerja,Berita Lainnya,"Loker PT KAI, Loker BUMN, Lowongan BUMN, PT.KAI, Lowongan Kerja","[6, 8, 11, 10, 7]",[ 6  8  7 11 39]
